32	32	14869	8320	0.56	7336
64	32	12523	8320	0.66	4250
64	64	13613	8320	0.61	1703
128	32	11089	8320	0.75	6179
128	64	11965	8320	0.70	1992
128	128	12837	8320	0.65	1885
256	32	9905	8320	0.84	2398
256	64	10521	8320	0.79	2079
256	128	11224	8320	0.74	2337
256	256	11901	8320	0.70	2218
512	32	8669	8320	0.96	2881
512	64	9092	8320	0.92	2993
512	128	9643	8320	0.86	2773
512	256	10234	8320	0.81	2931
512	512	10662	8320	0.78	2754
1024	32	7779	8320	1.07	4067
1024	64	8028	8320	1.04	3695
1024	128	8457	8320	0.98	4009
1024	256	8909	8320	0.93	3963
1024	512	9257	8320	0.90	3560
1024	1024	9599	8320	0.87	3567
2048	32	7396	8320	1.12	5606
2048	64	7523	8320	1.11	5264
2048	128	7841	8320	1.06	5228
2048	256	8191	8320	1.02	4928
2048	512	8500	8320	0.98	4970
2048	1024	8794	8320	0.95	4808
2048	2048	8873	8320	0.94	3715
4096	32	7482	8320	1.11	6263
4096	64	7509	8320	1.11	6398
4096	128	7692	8320	1.08	5823
4096	256	7909	8320	1.05	5767
4096	512	8074	8320	1.03	5474
4096	1024	8276	8320	1.01	4543
4096	2048	8356	8320	1.00	3149
4096	4096	8347	8320	1.00	237
