1.333	487
1.328	487
1.322	487
1.354	487
1.318	487
1.364	485
1.378	485
1.407	485
1.387	437
1.431	436
1.414	436
1.428	435
1.421	435
1.478	435
1.496	435
1.497	434
1.488	434
1.492	434
1.495	434
1.555	434
1.519	434
1.516	434
1.539	434
1.569	434
1.584	433
1.551	432
1.572	433
1.613	433
1.589	432
1.601	432
1.591	433
1.662	432
1.644	432
1.624	432
1.627	432
1.688	432
1.677	432
1.66	432
1.697	432
1.707	433
1.69	432
1.687	432
1.713	432
1.725	431
1.722	432
1.735	432
1.757	432
1.761	431
1.771	431
1.764	432
1.782	432
1.792	432
1.801	432
1.803	431
1.827	432
1.822	432
1.794	432
1.796	432
1.806	432
1.851	432
1.881	433
1.836	433
1.824	433
1.891	432
1.873	432
1.862	432
1.895	432
1.915	433
1.907	432
1.942	433
1.945	433
1.974	433
1.965	432
1.937	432
1.933	432
1.998	432
2.005	432
1.943	433
2.006	432
2.032	432
1.988	432
2.032	432
2.046	432
2.23	433
2.146	432
2.07	433
2.067	433
2.103	433
2.07	432
2.09	433
2.045	433
2.087	433
2.066	433
2.072	433
2.159	433
2.202	433
2.195	433
2.058	433
2.088	433
2.162	433
2.139	433
2.131	433
2.157	433
2.136	433
2.146	433
2.113	433
2.123	433
2.145	433
2.147	433
2.108	433
2.138	433
2.167	432
2.166	432
2.178	433
2.204	434
2.248	433
2.203	433
2.166	433
2.177	433
2.144	433
2.273	433
2.191	433
2.223	433
2.216	433
2.238	433
2.263	433
2.256	432
2.196	433
2.198	433
2.243	433
2.242	433
2.282	433
2.175	433
2.257	433
2.297	433
2.31	433
2.186	433
2.23	433
2.274	433
2.257	433
2.306	433
2.24	433
2.332	433
2.244	433
2.321	433
2.334	433
2.22	433
2.346	433
2.302	433
2.376	433
2.286	433
2.321	433
2.314	433
2.433	433
2.31	433
2.312	433
2.317	433
2.329	433
2.326	433
2.376	433
2.364	433
2.365	433
2.356	433
2.361	433
2.329	433
2.348	433
2.401	433
2.416	433
2.341	433
2.479	433
2.346	433
2.406	432
2.42	432
2.389	432
2.39	432
2.368	433
2.393	433
2.397	433
2.438	433
2.413	433
2.431	433
2.436	433
2.439	433
2.409	432
2.43	432
2.444	433
2.466	433
2.362	432
2.392	432
2.399	432
2.443	432
2.438	433
2.469	433
2.453	433
2.466	433
2.503	433
2.522	433
2.423	433
2.467	432
2.541	433
2.47	433
2.493	433
2.493	433
2.475	433
2.53	433
2.475	433
2.485	433
2.533	433
2.477	433
2.488	433
