8	8	16797	8296	0.49	7537
16	8	14814	8296	0.56	4058
16	16	16861	8296	0.49	2647
32	8	12863	8296	0.64	1940
32	16	13860	8296	0.60	1655
32	32	15361	8296	0.54	1748
64	8	11690	8296	0.71	1756
64	16	11914	8296	0.70	1443
64	32	12979	8296	0.64	1658
64	64	14126	8296	0.59	1493
128	8	11711	8296	0.71	2301
128	16	11196	8296	0.74	1813
128	32	12086	8296	0.69	1972
128	64	13056	8296	0.64	1893
128	128	13987	8296	0.59	1927
256	8	11960	8296	0.69	3159
256	16	10480	8296	0.79	2421
256	32	11113	8296	0.75	2478
256	64	11878	8296	0.70	2486
256	128	12636	8296	0.66	2540
256	256	13356	8296	0.62	2302
512	8	12370	8296	0.67	4878
512	16	9661	8296	0.86	3749
512	32	9771	8296	0.85	3506
512	64	10260	8296	0.81	3210
512	128	10793	8296	0.77	3291
512	256	11372	8296	0.73	3433
512	512	11885	8296	0.70	3322
1024	8	12907	8296	0.64	8348
1024	16	8922	8296	0.93	5252
1024	32	8302	8296	1.00	4719
1024	64	8410	8296	0.99	4623
1024	128	8641	8296	0.96	4164
1024	256	9106	8296	0.91	4287
1024	512	9398	8296	0.88	4441
1024	1024	9701	8296	0.86	3950
2048	8	12984	8296	0.64	13215
2048	16	8634	8296	0.96	8191
2048	32	7585	8296	1.09	6608
2048	64	7529	8296	1.10	6025
2048	128	7610	8296	1.09	9466
2048	256	7944	8296	1.04	6489
2048	512	8156	8296	1.02	5659
2048	1024	8533	8296	0.97	5248
2048	2048	8817	8296	0.94	4191
4096	8	11973	8296	0.69	17533
4096	16	8577	8296	0.97	10358
4096	32	7321	8296	1.13	6884
4096	64	6961	8296	1.19	5416
4096	128	6902	8296	1.20	5218
4096	256	7089	8296	1.17	5116
4096	512	7206	8296	1.15	4568
4096	1024	7586	8296	1.09	4065
4096	2048	8087	8296	1.03	2955
4096	4096	8292	8296	1.00	192
