1	100	0	484
2	56	44	503
3	50	50	521
4	35	65	485
5	29	71	464
6	20	80	447
7	20	80	452
8	18	82	444
9	16	84	445
10	15	85	438
11	12	88	433
12	12	88	438
13	11	89	436
14	14	86	439
15	11	89	432
16	8	92	425
17	10	90	432
18	11	89	431
19	16	84	441
20	12	88	434
21	12	88	432
22	17	83	443
23	17	83	443
24	17	83	443
25	20	80	448
26	20	80	448
27	20	80	447
28	20	80	447
29	20	80	447
30	19	81	445
31	19	81	445
32	19	81	445
33	19	81	445
34	19	81	445
35	19	81	445
36	19	81	445
37	19	81	445
38	19	81	445
39	19	81	445
40	18	82	443
41	18	82	443
42	18	82	443
43	18	82	443
44	18	82	443
45	18	82	443
46	18	82	443
47	18	82	443
48	18	82	443
49	18	82	443
50	16	84	439
51	16	84	439
52	16	84	439
53	16	84	439
54	16	84	439
55	16	84	439
56	16	84	439
57	16	84	439
58	16	84	439
59	16	84	439
60	12	88	433
61	12	88	433
62	12	88	433
63	12	88	433
64	12	88	433
65	12	88	433
66	12	88	433
67	12	88	433
68	12	88	433
69	12	88	433
70	12	88	433
71	12	88	433
72	12	88	433
73	12	88	433
74	12	88	433
75	12	88	433
76	12	88	433
77	12	88	433
78	12	88	433
79	12	88	433
80	9	91	427
81	9	91	427
82	9	91	427
83	9	91	427
84	9	91	427
85	9	91	427
86	9	91	427
87	9	91	427
88	9	91	427
89	9	91	427
90	9	91	427
91	9	91	427
92	9	91	427
93	9	91	427
94	9	91	427
95	9	91	427
96	9	91	427
97	9	91	427
98	9	91	427
99	9	91	427
100	9	91	427
